sample,ASV1,ASV2,ASV3,ASV4,ASV5,ASV6,ASV7,ASV8,ASV9,ASV10,ASV11,ASV12,ASV13,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV20,ASV21,ASV22,ASV23,ASV24,ASV25,ASV26,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV35,ASV36,ASV37,ASV38,ASV39,ASV40,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV47,ASV48,ASV49,ASV50
11737.D09MC1,79,0,177,5,37,212,953,131555,0,434,188,61,8,1466,0,0,0,2,3,0,0,4,1025,0,0,0,7,78,24,0,2,0,0,231,0,14,0,0,0,0,3,212,0,182,0,0,0,0,10,0
11737.D09MC2,119,0,6108,5,43,1896,12287,157602,2,2651,173,12,17,896,0,0,0,2,13,0,4,17,1006,0,7,0,99,296,31,0,5,0,0,233,2,63,0,0,0,0,6,0,0,16,0,0,5,0,155,0
11737.D09MC3,92,0,32,3,37,18,3,136710,0,4,20,26,7,736,0,0,6,2,0,0,0,0,2742,0,0,0,0,6,0,2,0,0,0,692,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
11737.D12MA1,19063,0,393,14,143236,9,0,780,0,84,23079,196,14908,1388,0,0,942,3593,0,0,11736,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,240,0,0,0,0
11737.D12MA2,73379,0,1434,10,98098,3,0,1700,0,39,14484,143,24,2612,0,0,1664,0,0,0,7927,0,7,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0
11737.D12MA3,83971,0,196,3,93387,0,2,640,0,13,10925,41,23,1557,0,5,1181,5,0,0,6108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,69,0,0,0,0
11737.D12MB1,106914,0,1424,0,0,1773,0,9146,0,693,10,42061,4,7426,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11737.D12MB2,134392,0,2536,10,71179,2,3,2844,0,50,10380,153,17,3373,0,0,1165,5,0,0,4749,0,11,0,0,0,12,0,0,0,2,0,0,5,0,0,0,0,0,0,11,0,0,0,0,12,0,0,0,0
11737.D12MB3,169388,0,7322,5,0,0,4,5743,0,0,12,16919,6,5973,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
11737.D12MC1,4659,0,52787,7,28,0,3,18840,0,428,26,1084,12,23972,0,0,60783,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
11737.D12MC2,205798,0,24842,9,0,117,0,15545,0,1,168,382,19,33373,0,0,245,5,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
11737.D12MC3,109595,0,23710,10,0,27,0,11072,0,0,21,58,11,15916,0,0,3,2,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,50,0,0,0,0,3,0,0,0,0
11737.D13MA1,23492,0,560,4322,128070,67,63,178,0,744,2071,965,35450,1428,0,15,408,8567,0,0,11246,0,2,0,0,0,77,0,0,0,0,2,0,2,0,30,2,0,111,0,7,0,0,46,0,676,0,26,7,4
11737.D13MA2,22143,0,440,6,155843,4,53,557,0,375,4420,464,28113,1664,0,1,771,212,0,0,13495,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,0,18,40,0,0,0,325,0,0,2,0
11737.D13MA3,51894,0,275,2122,135489,0,216,301,0,59,1644,123,21936,2045,0,0,73,2920,0,4,10897,0,13,0,0,0,22,0,0,0,0,0,0,3,0,0,2,0,17,0,2108,7,0,0,0,463,0,10,0,0
11737.D13MB1,182193,0,472,2,0,513,0,3301,0,141,19414,15854,4,5341,0,0,140,4,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,25,0,0,0,0,5,0,0,0,0,88,0,0,0,0
11737.D13MB2,65576,0,667,0,0,0,0,708,0,0,5197,2950,6,981,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
11737.D13MB3,52518,0,1567,3,0,0,0,1485,0,0,116,6396,0,1694,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0
11737.D13MC1,60877,0,428,5,0,10,0,745,0,0,2985,432,2,1262,0,0,5602,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0
11737.D13MC2,52444,3,1224,0,0,0,6,1564,0,29,3279,348,0,2268,0,0,8571,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
11737.D13MC3,71187,0,735,5,0,0,0,1498,0,0,813,326,8,2143,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,285,0,0,0,0,2,0,0,0,0
11737.D14MA1,6143,0,84,11289,36367,32,146,16,0,67,19,86,23393,276,0,3,31,3537,0,0,2925,0,8,0,0,0,15,0,0,2,0,0,0,9,0,0,0,0,124,0,7,0,0,37,0,93,0,51,4,77
11737.D14MA2,4308,0,30,268,32356,0,17,23,0,3,44,6,8496,164,0,0,2,1340,0,7,2729,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,2,0,123,0,34,0,0,0,0,217,0,0,0,0
11737.D14MA3,4545,0,76,9445,28170,0,2,5,0,10,8,10,16691,181,0,0,5,2110,0,165,2287,0,8,0,0,0,8,0,0,0,0,47,0,0,0,0,30,0,100,0,1325,3,0,0,0,68,0,39,0,69
11737.D14MB1,68706,0,92,5,0,38,0,417,0,35,3357,2210,4,538,0,0,37,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,43,0,0,0,0,4,0,0,0,0,380,0,0,0,0
11737.D14MB2,67440,0,227,7,0,0,0,479,0,0,6064,1674,4,649,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,81,0,0,0,0
11737.D14MB3,67239,0,166,2,0,0,0,453,0,0,2255,1096,4,851,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,83,0,0,0,0
11737.D14MC1,266528,0,1328,9,0,5,0,2202,0,0,13143,4344,18,3700,0,0,4999,2,0,2,0,0,3,0,0,0,285,0,0,0,0,0,0,0,0,0,2,0,0,0,6204,0,0,0,0,249,0,0,0,0
11737.D14MC2,314432,0,3048,13,0,0,0,3391,0,3,4283,13795,22,4443,0,0,9864,3,0,0,0,0,3,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,2,0,2489,0,0,0,0,175,0,0,0,0
11737.D14MC3,280951,0,1485,6,0,17,0,1845,0,0,6991,4521,9,3501,0,0,9704,5,0,7,0,0,6,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,8748,0,0,0,0,807,0,7,0,0
